ID,NAME,ISO,GLOTTOCODE,GLOTTOLOG_NAME
131,"Tangga",hrc,tang1348,
267,"Proto-Central Eastern Malayo Polynesian",,cent2237,
268,"Proto-Central Malayo Polynesian",,,
269,"Proto-Malayo-Polynesian",,mala1545,
270,"Proto-Oceanic (Blust)",,,
280,"Proto-Austronesian",,aust1307,
292,"Proto-Southern Mindanaon",,,
317,"Pondok",,,
321,"Baliledo",,,
331,"Old Chinese",,,
340,"Proto-Micronesian",,,
348,"Proto-Chuukic",,,
401,"Riwo",,,
459,"Nese",,nese1235,
476,"Orkon",,orko1234,
485,"Nāti",,nati1244,
640,"Eskayan",,,
649,"Lungchow",,,
658,"Proto-Polynesian",,,
665,"Proto-Oceanic (Pawley)",,,
668,"Proto-Central Pacific",,,
673,"Bontok, Eastern",ebk,,
676,"Mooriori",,,
682,"Proto-Greater Central Philippines",,,
684,"Proto-Southwestern Tai",,,
690,"Proto-Kra",,,
692,"Proto-Hlai (Norquest)",,,
698,"Proto-Tai",,,
706,"Yonamine",,,
709,"Proto-Bisayan",,bisa1268,
715,"Proto-Kam-Sui",,,
718,"Proto-Austronesian (Zorc)",,,
721,"Proto-Malayo-Polynesian (Zorc)",,,
723,"Proto-Atayalic",,atay1246,
725,"Proto-Rukai",,ruka1240,
727,"Proto-Tibeto-Burman",,,
738,"Proto-Chamic",,cham1330,
739,"Proto-Hmong-Mien",,hmon1336,
740,"Proto-Malayic",,mala1538,
746,"Proto-Hmongic",,hmon1337,
747,"Proto-Mienic",,mien1242,
758,"Proto-East Mindanao",,,
764,"Proto-Lampungic",,,
766,"Mulao",,,
774,"Mien (Jiangdi)",,,
777,"Proto-Koiarian",,,
780,"Proto-Bungku-Tolaki",,,
781,"Proto-Trans-New Guinea",,,
785,"Proto-Ongan",,,
787,"Proto-Sino-Tibetan",,,
792,"Proto-Hlai (Ostapirat)",,,
795,"Proto-Minahasan",,,
796,"Proto-Sangiric",,,
797,"Proto-Sumba-Hawu",,,
827,"Proto-Mon-Khmer",,,
861,"Proto-South Sulawesi",,,
874,"Proto-Philippine",,,
946,"Proto-Seko",,,
950,"Proto-Manide-Alabat",,,
951,"Proto-Lolo-Burmese",,,
952,"Proto-Alor-Pantar",,,
953,"Mondzi",,mond1267,
954,"Maang",,maan1239,
955,"Gaokujiao Lolo",,,
956,"White Lolo",,whit1264,
957,"Black Lolo",,blac1268,
958,"Flowery Lolo",,,
959,"Qo Xiong (Jiwei)",,,
964,"Mo'ang",,,
967,"Pa Na",,pana1310,
971,"Caijia",,caij1234,
974,"Yao (Lianmin)",,lian1256,
979,"Proto-Nisoic",,,
980,"Tangga (Feni)",hrw,tang1348,
1071,"Vovo",,vovo1238,
1189,"Proto Northern Central Vanuatu",,,
1195,"Proto-Kimbe",,,
1208,"Bikol, West Albay",fbl,alba1269,
1229,"Naːti (Windua)",,nati1244,
1238,"Angavae (Dixon Reef)",,dixo1238,
1251,"Tesmbol (Usus)",,,
1252,"Tesmbol (Melaklak)",,,
1253,"Fifti (Khatbol)",,,
1254,"Nitita (Khatbol)",,niti1249,
1268,"Sambal",,,
1279,"βatarxobu (Benut)",,,
1280,"βatarxobu (Lipitav)",,,
1281,"βatarxobu (Limsak)",,,
1286,"Siviti (Beterbu, Jericho)",,,
1293,"Nisvai (Blacksands)",,,
1295,"Alavas-Wowo (Wowo 2)",,,
1305,"Alavas 1",,,
1307,"Nese (Matanvat)",,,
1309,"βatarxobu (Gunwar)",,,
1310,"Siviti (Womol)",,,
1313,"Najit",,,
1314,"Alavas-Wowo (Wowo 1)",,,
1316,"Mbwenelang (Xoli)",,,
1322,"Alavas 2",,,
