ID	LID	DOCULECT	CONCEPT	VALUE	COGID
1477	Allen2007-1477	Jianchuan	Buddha	ve⁴²	101
1478	Allen2007-1478	Eryuan	Buddha	we⁴²	101
1479	Allen2007-1479	Heqing	Buddha	we⁴²	101
1480	Allen2007-1480	Lanping	Buddha	ve⁴²	101
1481	Allen2007-1481	Qiliqiao	Buddha	we⁴²	101
1482	Allen2007-1482	Yunlong	Buddha	wɛ⁴²tsʰɛ⁵⁵	100
1483	Allen2007-1483	Xiangyun	Buddha	wẽ⁴²	101
1484	Allen2007-1484	Luobenzhuo	Buddha	we⁴²	101
1485	Allen2007-1485	Zhoucheng	Buddha	ve⁴²	101
3673	Allen2007-3673	Jianchuan	CLS for axe	tsʰɤ³¹	420
3674	Allen2007-3674	Eryuan	CLS for axe	tʂʰɤ³¹	420
3675	Allen2007-3675	Heqing	CLS for axe	tɕʰuɔ³¹	420
3676	Allen2007-3676	Lanping	CLS for axe	tsʰɛ⁴²	420
3677	Allen2007-3677	Qiliqiao	CLS for axe	tsʰɤ³¹	420
3678	Allen2007-3678	Yunlong	CLS for axe	pa⁴²	826
3679	Allen2007-3679	Xiangyun	CLS for axe	we³¹	544
3680	Allen2007-3680	Luobenzhuo	CLS for axe	ʂɛ³³	545
3681	Allen2007-3681	Zhoucheng	CLS for axe	tsʰɤ³¹	420
3646	Allen2007-3646	Jianchuan	CLS for bowl	pe²¹	416
3647	Allen2007-3647	Eryuan	CLS for bowl	pe²¹	416
3648	Allen2007-3648	Heqing	CLS for bowl	pe²¹	416
3649	Allen2007-3649	Lanping	CLS for bowl	pe²¹	416
3650	Allen2007-3650	Qiliqiao	CLS for bowl	pe²¹	416
3651	Allen2007-3651	Yunlong	CLS for bowl	pe²¹	416
3652	Allen2007-3652	Xiangyun	CLS for bowl	kɯ⁴²pe²¹	417
3653	Allen2007-3653	Luobenzhuo	CLS for bowl	pʰɔ⁵⁵	416
3654	Allen2007-3654	Zhoucheng	CLS for bowl	pe²¹	416
3655	Allen2007-3655	Jianchuan	CLS for chicken	tɛ²¹	1166
3656	Allen2007-3656	Eryuan	CLS for chicken	tɯ²¹	1166
3657	Allen2007-3657	Heqing	CLS for chicken	tɯ²¹	1166
3658	Allen2007-3658	Lanping	CLS for chicken	tiɯ²¹	1166
3659	Allen2007-3659	Qiliqiao	CLS for chicken	tɯ²¹	1166
3660	Allen2007-3660	Yunlong	CLS for chicken	tɯ²¹	1166
3661	Allen2007-3661	Xiangyun	CLS for chicken	we³¹	1175
3662	Allen2007-3662	Luobenzhuo	CLS for chicken	ʈɯ³¹	1166
3663	Allen2007-3663	Zhoucheng	CLS for chicken	tɯ²¹	1166
3727	Allen2007-3727	Jianchuan	CLS for clothing	kʰõ⁵⁵	1216
3728	Allen2007-3728	Eryuan	CLS for clothing	kʰɔ⁵⁵	1216
3729	Allen2007-3729	Heqing	CLS for clothing	kʰɔu⁵⁵	1216
3730	Allen2007-3730	Lanping	CLS for clothing	kʰɔ̃⁵⁵	1216
3731	Allen2007-3731	Qiliqiao	CLS for clothing	kʰo⁵⁵	1216
3732	Allen2007-3732	Yunlong	CLS for clothing	kʰɔ⁵⁵	1216
3733	Allen2007-3733	Xiangyun	CLS for clothing	kʰã⁵⁵	1216
3734	Allen2007-3734	Luobenzhuo	CLS for clothing	kʰɤ̃⁵⁵	1216
3735	Allen2007-3735	Zhoucheng	CLS for clothing	kʰo⁵⁵	1216
