ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
4,"ASHES",,
6,"BACK/n",,
7,"BARK/of tree",1204,
9,"BEANS",,
20,"BROTHER/older",1759,
21,"BROTHER/younger",1760,
23,"BUZZARD/VULTURE",,
25,"CLAW/FINGERNAIL",2128,
27,"COLD/not hot",1287,
29,"CORN:maize",,
30,"CORNFIELD",,
32,"DAY",,
35,"DOCTOR",,
40,"EARTH/LAND",,
49,"FISH/n",,
51,"FLY/v",,
53,"FOREST/WOODS",,
61,"GREASE/LARD",,
62,"GREEN/BLUE",,
69,"HORN/of animal",,
73,"INCENSE/RESIN/SAP",,
74,"JICARA/GUACAL",,
77,"KNOW",,
79,"LEATHER/PELT/SKIN",,
83,"LORD/MASTER",,
85,"MAKE/DO",,
87,"MANY/MUCH",1198,
89,"MEAT/FLESH",,
91,"MONKEY/spider",,
92,"MOON/MONTH",,
94,"MOUNTAIN/HILL",2118,
98,"NECK/THROAT",,
102,"NOT/NO",,
105,"PORTER",,
109,"RAIN",,
112,"ROAD/PATH",,
117,"SAY/TELL",,
120,"SISTER/older",,
121,"SISTER/younger",,
123,"SKY/HEAVEN",,
126,"SMOKE/n",,
133,"STONE/ROCK",,
138,"THAT/pro",,
145,"TORTILLA",,
149,"VENUS",,
150,"WALK/GO",,
152,"WARM/HOT",,
160,"WIND/n",,
164,"YOU/sg",,
165,"ALIVE",,
170,"BLOW/v",,
171,"BOIL/PIMPLE",,
176,"CHERIMOYA",,
178,"CORN:ear/mazorca",,
183,"DEVIL",,
192,"FEAR",,
200,"GOURD/SQUASH",,
201,"GRIDDLE/comal",,
203,"GUAVA",,
205,"HARD/not soft",,
213,"LEFT/not right",,
221,"MONKEY/marmoset",,
222,"MUCUS",,
223,"MUD/DIRT",,
228,"OTHER/ANOTHER",,
229,"OVER/ABOVE",,
232,"POT/olla",,
236,"RIGHT/not left",,
241,"SANDALS",,
242,"SAPODILLA",,
243,"SHAMAN",,
246,"SKUNK",,
249,"STAB/PIERCE",,
252,"SWELL/v",,
258,"TOOTH/molar",,
261,"UNDER/BELOW",,
267,"WORK",,
269,"YOU/pl",,
272,"ANNATTO",,
276,"AVOCADO",,
277,"AX",,
280,"BAPTIZE",,
285,"BELT/SASH",,
286,"BIRDNEST",,
288,"BLANKET/SHAWL",,
289,"BOW/for arrow",,
290,"BRAVE/adj",,
296,"BURDEN/LOAD",,
297,"BUSH/SHRUB",,
298,"CACAO",,
299,"CANOE/BOAT",,
301,"CATERPILLAR/WORM",,
305,"CHEMISE",,
308,"CIGAR",,
312,"COATI",,
314,"CORN:cake/totoposte",,
315,"CORN:cob/olote",,
316,"CORN:dough/masa",,
317,"CORN:dough/nixtamal",,
318,"CORN:ear/elote",,
319,"CORN:ear/jilote",,
320,"CORN:gruel/atole",,
321,"CORN:husk/tusa",,
322,"CORNCRIB/GRANARY",,
326,"CRAZY",,
327,"CROOKED/not straight",,
328,"CROW/RAVEN",,
329,"CYPRESS",,
340,"DROP/n",,
341,"DRUMMER",,
345,"DUMB/MUTE",,
356,"EYEBALL/PUPIL",,
360,"FALCON/HAWK",,
361,"FAST/not slow",,
362,"FAT/adj",,
364,"FECES",,
370,"FINGER/little",,
371,"FINGER/middle",,
372,"FINGER/thumb",,
373,"FIRE-FAN",,
377,"FIREWORKS",,
381,"FLY/n",,
383,"FOOL/n",,
385,"FOURTEEN",,
387,"GALL/BILE",,
388,"GODFATHER",,
389,"GODMOTHER",,
391,"GRACKLE/sanate",,
393,"GRASS/STRAW",,
394,"GRASSHOPPER/CRICKET",,
395,"GRAVE/n",,
397,"GUTS/INTESTINES",,
401,"HE/SHE",,
402,"HEAP/PILE",,
409,"HIS/HER",,
412,"HOW MANY/HOW MUCH",,
416,"ILL",,
417,"INHERIT",,
418,"INTELLIGENT",,
419,"IRON/METAL",,
421,"JAIL",,
422,"JAW/CHIN",,
423,"JEALOUS",,
424,"JUDGE/SENTENCE",,
425,"JUG/PITCHER",,
433,"LIGHT/not dark",,
434,"LIGHT/not heavy",,
435,"LIMESTONE",,
438,"MIDNIGHT",,
439,"MIDWIFE",,
440,"MOCKINGBIRD",,
444,"MUSSEL",,
447,"NEEDLE",,
449,"NET/BAG",,
456,"OBSIDIAN",,
458,"ONE HUNDRED",,
459,"ONE THOUSAND",,
464,"PALM/of hand",,
467,"PIG/domestic",,
468,"PIG/wild",,
469,"PIGEON/DOVE",,
470,"PIT/STONE",,
471,"PLAIN/LOWLANDS",,
472,"PLANK/BOARD",,
473,"POINT/TIP",,
476,"POST/PILLAR",,
477,"POT/jarro",,
478,"PRETTY",,
480,"QUAIL/PARTRIDGE",,
484,"RIBBON",,
487,"ROUGH/UNEVEN",,
492,"SEA/OCEAN",,
496,"SHADE/SHADOW",,
