ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,1,1493,
2,2,1498,
3,3,492,
4,4,1500,
5,5,493,
6,6,1703,
7,7,1704,
8,8,1705,
9,9,1483,
10,10,1515,
11,11,1706,
12,12,1707,
13,13,1708,
14,14,2451,
15,15,1709,
16,16,2454,
17,17,2453,
18,18,1713,
19,19,1714,
20,20,1710,
21,21,1734,
22,22,,
23,23,,
24,24,1736,
25,25,1738,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,1715,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
40,40,1716,
41,41,,
43,43,,
44,44,,
45,45,,
46,46,,
48,48,,
49,49,,
50,50,1717,
51,51,,
53,53,,
55,55,,
60,60,1718,
61,61,,
62,62,,
63,63,,
70,70,1721,
71,71,,
72,72,,
73,73,,
79,79,,
80,80,1722,
81,81,,
83,83,,
89,89,,
90,90,1724,
91,91,,
96,96,,
99,99,,
100,100,1634,
101,101,,
102,102,,
103,103,,
108,108,,
110,110,,
111,111,,
120,120,,
140,140,,
144,144,,
160,160,,
200,200,,
201,201,,
210,210,,
216,216,,
231,231,,
240,240,,
300,300,,
304,304,,
399,399,,
400,400,,
432,432,,
500,500,,
600,600,,
700,700,,
776,776,,
800,800,,
900,900,,
911,911,,
999,999,,
1000,1000,1843,
1002,1002,,
1027,1027,,
1221,1221,,
1296,1296,,
2000,2000,,
2002,2002,,
3000,3000,,
4000,4000,,
5000,5000,,
7776,7776,,
8000,8000,,
9000,9000,,
10000,10000,,
46656,46656,,
100000,100000,,
1000000,1000000,,
1000000000,1000000000,,
