NAME,ABBREVIATION,LOCATION,ETHNIC_NAME,GLOTTOCODE
Chu Dong Gua, (CDG),"Santaishan, Dehong",Liang/Ta-ang,
Meng Dan,(MD),"Santaishan, Dehong",Pule/Ka-ang,khan1274
Nan Sang,(NS),"Ruili, Dehong",Rumai,ruma1248
Guang Ka,(GK),"Ruili, Dehong",Rumai,ruma1248
Mang Bang,(MB),"Longchuan, Dehong",Rumai,ruma1248
Cha Ye Qing,(CYQ),"Mangshi, Dehong",Raokot/La-ang,
Xiang Zhai Tang, (XCT),"Mangshi, Dehong",Raojin/Na-ang,ruma1248
Nam Hsan,(NH),"Namhsan Township, Shan",Ta-ang/SaamLoong,
Khun Hawt,(KH),"Namhsan, Shan",Ta-ang,
Htan Hsan,(TS),"Hsipaw, Shan",Ta-ang,
Pang Kham,(PK),"Hsipaw, Shan",Dara-ang/Ta-ang,
Man Loi,(ML),"Hsipaw, Shan",Dara-ang/Katiang,
Nyaung Gone,(NG),"Kalaw, Shan",Da-ang,
Ban Paw,(BP),"KengTung, Shan",Dara-ang,
Noe Lae,(NL),"Fang, Chiang Mai",Dara-ang,
Pong Nuea,(PN),"Mae Sai, Chiang Rai",Dara-ang,
